,EMA,CMO,MINUSDM,PLUSDM,CLOSE,CLOSEL1,CLOSEL2,CLOSEL3,PATT_3OUT,PATT_CMB,RSI,MACD,MACD_SIGNAL,MACD_HIST,ADX,ATR,NATR,BB_UPPER,BB_MIDDLE,BB_LOWER,BB_WIDTH,OBV,MFI,AD,ADOSC,STOCH_K,STOCH_D,TRIX,ROC,UP_DOWN,FWD_RET,FWD_RET_BPS,fng_score,fng_ordinal,fng_ordinal_smooth,fng_ordinal_smooth_int,finbert_pos_smooth,finbert_neg_smooth,finbert_neutral_smooth,fomc_sentiment_composite_smooth,fomc_sentiment_polarity_smooth,word_count_smooth,unique_addresses_used_smooth,confirmed_tx_per_day_smooth,output_value_per_day_btc_smooth,avg_tx_per_block_smooth,median_confirmation_time_min_smooth,avg_confirmation_time_min_smooth,total_hash_rate_ths_smooth,network_difficulty_smooth,miners_revenue_usd_smooth,total_tx_fees_btc_smooth,blockchain_size_smooth,avg_block_size_smooth
46,102458.0897822729,16.82703847816403,6258.14833526181,5714.396085342312,105333.93,103161.29,101420.7,101289.01,0,0,58.413519239082014,-495.55606382890255,-931.9534656140446,436.39740178514205,36.73440768011107,1625.585934721783,1.5432690441928665,105236.06719330583,102023.94812500004,98811.82905669425,0.062967942867106,-1783.7360500000032,55.430357542051176,-6031.732551623426,1953.6860217038138,77.36369505511492,66.39858745850341,-0.14233398538064934,1.8127365078751234,0,-0.003933490376747395,-39.334903767473946,47,3,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,477897.0,309497.6666666667,464578.3432374266,2339.065017453589,8.266666666666667,27.237122972690617,835764903.1204797,126411437451912.0,43593706.070201285,3.8556789533333315,667029.8429676667,1.3889850875169785
47,102747.67921965256,13.09056687495439,5867.014064307947,5357.246330008418,104919.6,105333.93,103161.29,101420.7,0,0,56.5452834374772,-256.46390624444757,-796.8555537401252,540.3916474956776,34.722360944354875,1572.685563801671,1.4989435375293756,105486.40136098667,102089.25812500005,98692.11488901344,0.06655241302326026,-4665.878610000003,56.588075233491416,-7443.323254345771,2293.5676084447186,87.243998001376,76.52600600972255,-0.12791636064369838,1.0059818257853959,1,0.0001347698618752169,1.347698618752169,65,4,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,455887.6666666667,288570.6666666667,492735.38375763776,2464.341265106825,8.933333333333332,20.803864285087993,743600352.4004269,126411437451912.0,38452651.14849009,3.73031548,667214.453693,1.3949489641855017
48,103004.86284086992,13.19163440470147,5500.3256852887,5333.418434382892,104933.74,104919.6,105333.93,103161.29,0,0,56.59581720235074,-65.09034795184562,-650.5025125824693,585.4121646306237,32.64850237892883,1543.5233410640662,1.4709504693762618,105779.56762624488,102175.06062500006,98570.55362375523,0.07055551480363655,-1506.8987400000033,59.82055149781359,-9295.231613614984,1634.860360667186,87.15073700608741,83.91947668752611,-0.11148372387659311,1.3256354473551335,1,0.002251516051938962,22.51516051938962,65,4,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,455887.6666666667,288570.6666666667,492735.38375763776,2464.341265106825,8.933333333333332,20.803864285087993,743600352.4004269,126411437451912.0,38452651.14849009,3.73031548,667214.453693,1.3949489641855017
49,103259.58485959111,14.954286798279615,5239.4453299581555,5000.079782233961,105170.0,104933.74,104919.6,105333.93,0,0,57.477143399139806,104.43492248197435,-499.51502556958053,603.9499480515549,30.75407489198822,1506.3893822475616,1.4323375318508715,106243.73708749228,102357.86687500005,98471.99666250782,0.07592714328909711,709.9656599999967,59.90407175437347,-8952.957725654413,1325.6708726849938,86.45678291127992,86.95050597291443,-0.09373044498200978,2.8606749858917313,1,0.0007105638490063626,7.105638490063626,65,4,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,455887.6666666667,288570.6666666667,492735.38375763776,2464.341265106825,8.933333333333332,20.803864285087993,743600352.4004269,126411437451912.0,38452651.14849009,3.73031548,667214.453693,1.3949489641855017
50,103493.13134669804,15.532950083257871,4911.979996835771,4848.094795844342,105244.73,105170.0,104933.74,104919.6,0,0,57.76647504162894,242.02509250868752,-351.2070019539269,593.2320944626144,28.87285499058777,1470.423795857089,1.3971471976383893,106678.3015650731,102553.16187500005,98428.022184927,0.08044880556878578,3643.6963799999967,65.8638807616078,-9089.852973980627,1035.1111510716655,87.83313437132239,87.14688476289656,-0.07547027726728661,3.0598508558704607,1,0.0037860328018324285,37.86032801832428,65,4,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,455887.6666666667,288570.6666666667,492735.38375763776,2464.341265106825,8.933333333333332,20.803864285087993,743600352.4004269,126411437451912.0,38452651.14849009,3.73031548,667214.453693,1.3949489641855017
51,103746.0794235571,18.679900316347105,4604.9812470335355,5103.168871104072,105643.19,105244.73,105170.0,104933.74,0,0,59.33995015817355,378.85152096256206,-205.1952973706291,584.0468183331911,27.389029252830955,1448.357308616021,1.3709897520285226,107142.49798381944,102757.39875000005,98372.29951618066,0.0853485838910337,6010.097249999997,64.87290668635275,-9463.145214034135,703.3699930244911,89.99590898879104,88.09527542379777,-0.05680681281232669,3.1919679923106514,1,0.00416316470564726,41.6316470564726,65,4,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,455887.6666666667,288570.6666666667,492735.38375763776,2464.341265106825,8.933333333333332,20.803864285087993,743600352.4004269,126411437451912.0,38452651.14849009,3.73031548,667214.453693,1.3949489641855017
52,104021.01125607979,22.097061623357046,4317.16991909394,4784.220816660068,106083.0,105643.19,105244.73,105170.0,0,0,61.048530811678525,516.8188763499202,-60.79246262651924,577.6113389764394,25.997942623683944,1400.56372682752,1.3202527519277547,107650.50864837966,102986.04812500004,98321.58760162043,0.09058431910540145,7103.672179999997,64.68269765842463,-8485.092592556794,814.9135358366657,92.97069460006855,90.26657932006066,-0.0377941032915996,3.5717880692931026,1,0.0014046548457340435,14.046548457340435,65,4,2.6666666666666665,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,455887.6666666667,288570.6666666667,492735.38375763776,2464.341265106825,8.933333333333332,20.803864285087993,743600352.4004269,126411437451912.0,38452651.14849009,3.73031548,667214.453693,1.3949489641855017
53,104281.12875536452,23.262407347879545,4047.3467991505686,5157.277015618806,106232.01,106083.0,105643.19,105244.73,0,0,61.63120367393977,630.9101220083976,77.54805430046412,553.3620677079334,25.126721113548278,1374.4753689007996,1.2938429470559765,108122.20376227034,103204.33125000005,98286.45873772976,0.09530360698442657,9488.766679999997,67.78103749900347,-8813.059764865198,682.1087452674565,94.31248480253306,92.42636279713088,-0.018973531182020498,3.3994040071061216,1,0.0034641159477262207,34.64115947726221,66,4,3.0,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,470335.6666666667,278407.6666666667,616786.617881514,2527.620709854355,9.486111111111112,29.848388227902053,693328779.280398,126411437451912.0,36009575.03347036,4.610754713333334,667378.4980683333,1.4506042732113853
54,104553.93831355694,26.17168410710309,3794.387624203658,4834.947202142631,106600.01,106232.01,106083.0,105643.19,0,0,63.085842053551545,742.4641165042704,210.53126674122535,531.9328497630449,24.309950947796093,1332.3831583444996,1.2498902751927505,108324.67131161116,103685.19375000005,99045.71618838893,0.08949161194215567,10806.390019999997,83.54038465994188,-7878.844140832693,863.0200526569897,96.23581485064857,94.50633141775006,-0.0003989125485936995,7.7788846625505,1,0.005609849379939247,56.09849379939247,66,4,3.0,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,470335.6666666667,278407.6666666667,616786.617881514,2527.620709854355,9.486111111111112,29.848388227902053,693328779.280398,126411437451912.0,36009575.03347036,4.610754713333334,667378.4980683333,1.4506042732113853
55,104865.00674725612,30.72416357973019,3557.2383976909296,5068.203002008719,107198.02,106600.01,106232.01,106083.0,0,0,65.3620817898651,869.1073416334693,342.24648171967414,526.8608599137951,23.885424870063645,1305.0035859479683,1.2173765764964393,108419.59789448875,104204.89250000005,99990.18710551134,0.08089265855705766,13079.205709999997,91.00894595741352,-5806.393859918571,1517.9888539111107,96.94332451526452,95.83054138948205,0.018231381437394667,8.409123362557146,0,-0.00158603675702218,-15.8603675702218,66,4,3.0,3,0.23577080563779712,0.5629173630305494,0.20131183872154404,-0.3271465573927523,-0.40960486235598564,7071.0,470335.6666666667,278407.6666666667,616786.617881514,2527.620709854355,9.486111111111112,29.848388227902053,693328779.280398,126411437451912.0,36009575.03347036,4.610754713333334,667378.4980683333,1.4506042732113853
