open_time,open,high,low,close,volume
1750046400000,105921.85,107262.31,105874.48,107061.8,2778.21159
1750060800000,107061.8,107255.01,106582.25,106883.99,2148.92551
1750075200000,106884.0,107784.26,106495.09,107424.96,2538.358
1750089600000,107424.96,108888.0,107309.15,108652.0,2748.12533
1750104000000,108652.01,108952.38,106700.0,106794.53,3029.00687
1750118400000,106794.53,107771.34,106115.35,107590.41,3025.95246
1750132800000,107590.41,107711.06,106481.6,106758.52,1696.95424
1750147200000,106758.52,106822.78,105508.23,105641.47,2408.54535
1750161600000,105641.48,105862.03,104130.95,104241.63,4308.26392
1750176000000,104241.62,105336.82,103371.02,104686.12,4719.96669
1750190400000,104686.12,104898.81,104203.85,104551.17,1706.64759
1750204800000,104551.17,105240.0,104379.52,105184.84,1346.38636
1750219200000,105184.84,105550.27,104713.24,104973.24,1758.92527
1750233600000,104973.24,105310.62,104175.87,104840.59,1900.45623
1750248000000,104840.58,105325.83,103814.04,104801.01,4024.47787
1750262400000,104801.01,104836.64,103500.0,103808.41,3290.4773
1750276800000,103808.41,105139.87,103652.0,104886.78,1647.91864
1750291200000,104886.79,105226.17,104457.12,105100.02,1479.10507
1750305600000,105100.01,105220.0,104617.69,104642.85,1132.25759
1750320000000,104642.85,105073.53,104631.26,104776.23,949.58523
1750334400000,104776.23,104917.05,104078.0,104096.93,1595.4989
1750348800000,104096.94,104814.73,103929.27,104250.44,1624.22301
1750363200000,104250.45,104898.31,104150.0,104658.59,897.93757
1750377600000,104658.59,104820.0,104391.38,104596.63,1026.45735
1750392000000,104596.64,105825.66,104238.02,105811.74,1878.07017
1750406400000,105811.74,106524.65,105757.48,105977.82,2862.78664
1750420800000,105977.82,106149.17,103888.0,104217.99,3668.86931
1750435200000,104218.0,104269.64,102345.0,103307.22,5227.49835
1750449600000,103307.21,103828.0,102963.67,103297.99,1755.38101
1750464000000,103297.98,103691.67,103127.48,103495.87,750.73411
1750478400000,103495.86,103599.04,103330.0,103458.5,686.61118
1750492800000,103458.5,103982.64,103458.49,103874.64,1188.56205
1750507200000,103874.63,103946.47,103281.82,103560.9,1449.27436
1750521600000,103560.9,103640.0,102210.43,102245.1,2365.40427
1750536000000,102245.11,102888.88,100837.9,102120.01,4713.62735
1750550400000,102120.02,103399.62,101839.96,102375.4,4339.90882
1750564800000,102375.4,102946.47,102256.01,102424.61,1481.73109
1750579200000,102424.61,102804.05,102080.0,102739.48,1801.30685
1750593600000,102739.47,102831.0,98889.35,98906.21,12422.58545
1750608000000,98906.21,100380.0,98673.66,98882.84,4419.40202
1750622400000,98882.85,101034.65,98200.0,100963.87,4281.47649
1750636800000,100963.87,101620.0,100494.25,101154.14,2930.22354
1750651200000,101154.13,102137.0,100980.0,101931.04,2509.06943
1750665600000,101931.04,102080.0,101102.76,101289.01,2527.52051
1750680000000,101289.0,102613.09,100792.16,101420.7,4451.665
1750694400000,101420.71,103300.0,99613.33,103161.29,7496.3725
1750708800000,103161.3,106074.2,102880.0,105333.93,7751.65511
1750723200000,105333.94,105500.0,104720.82,104919.6,2882.14256
1750737600000,104919.6,105811.0,104704.91,104933.74,3158.97987
1750752000000,104933.74,105571.4,104622.02,105170.0,2216.8644
1750766400000,105169.99,105731.92,104800.98,105244.73,2933.73072
1750780800000,105244.72,106290.0,105172.64,105643.19,2366.40087
1750795200000,105643.2,106119.11,105435.45,106083.0,1093.57493
1750809600000,106083.0,106791.18,105808.03,106232.01,2385.0945
1750824000000,106232.01,106702.0,106001.0,106600.01,1317.62334
1750838400000,106600.0,107237.44,106343.13,107198.02,2272.81569
1750852800000,107198.02,108135.3,106752.36,107028.0,7497.00314
1750867200000,107027.99,107905.37,106931.0,107761.68,2109.69446
1750881600000,107761.67,108000.0,107079.9,107340.58,1118.92438
1750896000000,107340.59,108272.45,107105.43,107853.79,1896.83706
1750910400000,107853.79,108085.92,107520.0,107813.99,1290.81871
1750924800000,107813.99,108174.86,107117.65,107325.41,2010.44306
1750939200000,107325.42,107765.55,106562.5,107313.6,2623.12904
1750953600000,107313.61,107669.74,107009.28,107532.98,1252.6466
1750968000000,107532.97,108000.0,106850.0,106947.06,1499.39832
1750982400000,106947.06,107515.28,106438.33,107477.76,1472.30428
1750996800000,107477.76,107735.34,106850.0,106869.71,1946.05962
1751011200000,106869.72,107159.95,106679.98,106983.6,2318.07544
1751025600000,106983.6,107407.14,106356.76,107308.25,3704.52866
1751040000000,107308.25,107709.22,106446.45,106801.02,1987.48356
1751054400000,106801.02,107277.99,106794.33,107047.59,803.98886
1751068800000,107047.58,107347.1,106811.51,107300.13,775.04704
1751083200000,107300.13,107496.12,107183.29,107485.0,497.62159
1751097600000,107485.01,107493.07,107252.6,107373.39,416.2984
1751112000000,107373.39,107577.75,107084.15,107449.28,714.87392
1751126400000,107449.28,107542.5,107225.74,107225.74,499.08961
