symbol,interval,rows,split_mode,test_size,accuracy,precision,recall,f1,auc,confusion_matrix,predictions_file,thresholds_file
BTCUSDT,5m,17272,time,0.2,0.5118702953097858,0.4985049124305852,0.6950565812983919,0.5805970149253732,0.5177031935508225,"[[601, 1174], [512, 1167]]",,
BTCUSDT,15m,5745,time,0.2,0.5230635335073978,0.4994124559341951,0.7769652650822669,0.6080114449213162,0.5449628599367131,"[[176, 426], [122, 425]]",,
BTCUSDT,1h,1422,time,0.2,0.5140845070422535,0.49137931034482757,0.8507462686567164,0.6229508196721312,0.5593532338308458,"[[32, 118], [20, 114]]",,
BTCUSDT,4h,342,time,0.2,0.4411764705882353,0.4262295081967213,0.896551724137931,0.5777777777777777,0.5605658709106985,"[[4, 35], [3, 26]]",,
BTCUSDT,1d,41,time,0.2,0.375,0.375,1.0,0.5454545454545454,0.5333333333333333,"[[0, 5], [0, 3]]",,
