symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip,r2,mae_bps
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],45.0,7,,15.131372633287524,,105.91960843301267,0.32688992295862557,0.0026,-0.25362161133235994,46.98394141973872
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],45.0,7,,14.641548566689048,,102.49083996682333,0.32030448235983866,0.0026,-0.25517846023992163,46.958353595364166
BTCUSDT,4h,120 days ago UTC,16,rf_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,20,,-15.769174330865194,,-315.3834866173039,-0.34975120613204463,0.0026,-1.2788506275382887,65.04155292334939
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7250379374209481,57.02622755205453
BTCUSDT,4h,120 days ago UTC,16,svr,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,0.0026,-0.0016615035997988858,38.43710027871111
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7253321752566539,57.011341515678296
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7253322917047689,57.01133548650197
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7253321752566539,57.011341515678296
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7253321752566539,57.011341515678296
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7253322917047689,57.01133548650197
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,5,,-1.7765115898811004,,-8.882557949405502,-0.03901596026835355,0.0026,-0.7253322917047689,57.01133548650197
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],45.0,18,,-9.413895787443105,,-169.4501241739759,-0.09699872179089163,0.0026,-0.47459225943848193,82.45908083984443
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],45.0,18,,-9.413895787443105,,-169.4501241739759,-0.09699872179089163,0.0026,-0.4745917880582218,82.45909401812735
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,11,,27.53530783872513,,302.88838622597643,0.3326424506266246,0.0026,-0.22940613651237118,69.07043639067969
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],34.0,1,,3.0731713729308616,,3.0731713729308616,3073171372.9308615,0.0026,-0.3491608431520934,70.28379922081747
BTCUSDT,8h,120 days ago UTC,16,svr,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,0.0026,-0.002257862250089948,61.249863673041936
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],34.0,1,,3.0731713729308616,,3.0731713729308616,3073171372.9308615,0.0026,-0.34916079073559714,70.28378604253457
