symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip,r2,mae_bps,mape_pct
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],40.0,7,,12.116369312894493,,84.81458519026145,0.2808446643626695,0.0026,-0.26491053829272393,46.83061124962958,287.07024340375943
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],40.0,7,,12.116369312894493,,84.81458519026145,0.2808446643626695,0.0026,-0.26450388185714413,46.81745260869666,287.1457570767928
BTCUSDT,4h,120 days ago UTC,16,rf_reg,673,time,0.2,,return_bps,0.0,,,,,,[],49.0,20,,-12.196868322707251,,-243.93736645414504,-0.2842564147398299,0.0026,-1.1123785780128252,62.940024613566386,453.0437755382015
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6721596001735874,55.364251470224524,439.64465653210806
BTCUSDT,4h,120 days ago UTC,16,svr,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,0.0026,-0.000537557831605362,39.10663711346198,114.33723681446786
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6723562569460373,55.36843418934514,439.66478231492056
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6723565404358927,55.368440233736926,439.66481194056894
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6724929484955118,55.37135363058105,439.679279463778
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6724929484955118,55.37135363058105,439.679279463778
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6724929484955118,55.37135363058105,439.679279463778
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,8,,-6.7586893298233495,,-54.069514638586796,-0.21208662265522757,0.0026,-0.6724929484955118,55.37135363058105,439.679279463778
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],41.0,18,,-9.413895787443105,,-169.4501241739759,-0.09699872179089163,0.0026,-0.42059158827382204,82.29897393155507,469.9132009029774
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],41.0,18,,-9.413895787443105,,-169.4501241739759,-0.09699872179089163,0.0026,-0.42059123803007004,82.29898686440951,469.9132036218776
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],37.0,2,,143.3685207499962,,286.7370414999924,2.8997984080205375,0.0026,-0.19567087644671388,69.36085407381177,314.75337288116975
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20539775891104828,71.95120943287532,397.0460127915198
BTCUSDT,8h,120 days ago UTC,16,svr,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,0.0026,-0.0006888970738363476,63.12718710412289,134.62920022482504
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20404277200103182,71.99322827701162,397.066733706568
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20404277200103182,71.99322827701162,397.066733706568
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20404318920487485,71.99321534415718,397.06672745383423
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20404277200103182,71.99322827701162,397.066733706568
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20404277200103182,71.99322827701162,397.066733706568
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],42.0,3,,30.026921939897147,,90.08076581969144,2.066371827408496,0.0026,-0.20404318920487485,71.99321534415718,397.06672745383423
