symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss
BTCUSDT,8h,120 days ago UTC,16,gru_lstm,298,time,0.2,,direction,0.0,0.6101694915254238,0.5862068965517241,0.6071428571428571,0.5964912280701754,0.565668202764977,"[[19, 12], [11, 17]]",0.645,14,0.5,0.00012366527615862894,0.0005211608066685078,0.006832831522208371,0.9960513939625205,0.1316855287191895,0.002,,,,0.7276127920247543
BTCUSDT,8h,120 days ago UTC,16,hybrid_transformer,298,time,0.2,,direction,0.0,0.576271186440678,0.5348837209302325,0.8214285714285714,0.647887323943662,0.587557603686636,"[[11, 20], [5, 23]]",0.59,13,0.6153846153846154,9.548733376637512e-05,0.00043336559170893327,0.005534979223267067,1.593612258893372,0.25245943872533927,0.002,,,,0.697045544923516
BTCUSDT,8h,120 days ago UTC,16,voting_soft,313,time,0.2,,direction,0.0,0.45161290322580644,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.4973876698014629,"[[16, 17], [17, 12]]",0.695,1,1.0,0.00019691571310120537,0.012208774212274733,0.012208774212274731,4.202533797910571,,0.002,,,,0.7307052631323034
BTCUSDT,8h,120 days ago UTC,16,stacking,313,time,0.2,,direction,0.0,0.5,0.48333333333333334,1.0,0.651685393258427,0.4869383490073145,"[[2, 31], [0, 29]]",0.67,0,,0.0,,0.0,,,0.002,,,,0.7231405897467256
BTCUSDT,8h,120 days ago UTC,16,arima,313,time,0.2,,direction,0.0,0.46774193548387094,0.46774193548387094,1.0,0.6373626373626373,0.5768025078369906,"[[0, 33], [0, 29]]",0.645,0,,0.0,,0.0,,,0.002,,,,0.7487139797998212
BTCUSDT,1d,120 days ago UTC,16,logreg,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.8222222222222222,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7091146664126088
BTCUSDT,1d,120 days ago UTC,16,sgdlog,73,time,0.2,,direction,0.0,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.8222222222222222,"[[0, 5], [0, 9]]",0.55,7,0.7142857142857143,0.006964799668662314,0.013929599337324627,0.10104540614144009,11.115969517323188,7.734822294414306,0.002,,,,0.6666022727740424
BTCUSDT,1d,120 days ago UTC,16,rf,73,time,0.2,,direction,0.0,0.42857142857142855,1.0,0.1111111111111111,0.2,0.4888888888888888,"[[5, 0], [8, 1]]",0.5,1,1.0,0.0015042188038206148,0.021059063253488608,0.021059063253488608,5.106018857331863,,0.002,,,,0.7777684649845782
BTCUSDT,1d,120 days ago UTC,16,hgb,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.6555555555555557,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.8400577700417549
BTCUSDT,1d,120 days ago UTC,16,linsvc,73,time,0.2,,direction,0.0,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.8222222222222222,"[[0, 5], [0, 9]]",0.55,7,0.7142857142857143,0.006964799668662314,0.013929599337324627,0.10104540614144009,11.115969517323188,7.734822294414306,0.002,,,,0.6665903632608374
BTCUSDT,1d,120 days ago UTC,16,bilstm,58,time,0.2,,direction,0.0,0.45454545454545453,1.0,0.14285714285714285,0.25,0.6428571428571428,"[[4, 0], [6, 1]]",0.5,1,1.0,0.001300967128850578,0.01431063841735636,0.014310638417356358,5.760366149978505,,0.002,,,,0.7674567637293787
BTCUSDT,1d,120 days ago UTC,16,gru_lstm,58,time,0.2,,direction,0.0,0.36363636363636365,0.0,0.0,0.0,0.07142857142857142,"[[4, 0], [7, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.9784519681101355
BTCUSDT,1d,120 days ago UTC,16,hybrid_transformer,58,time,0.2,,direction,0.0,0.5454545454545454,0.75,0.42857142857142855,0.5454545454545454,0.5714285714285714,"[[3, 1], [4, 3]]",0.57,1,1.0,0.0006841358159649875,0.007525493975614863,0.007525493975614861,5.760366149978504,,0.002,,,,0.720514396174315
BTCUSDT,1d,120 days ago UTC,16,voting_soft,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.5777777777777777,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7618355186460164
BTCUSDT,1d,120 days ago UTC,16,stacking,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.28888888888888886,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,0.7067311544630372
BTCUSDT,1d,120 days ago UTC,16,metalabel,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.6555555555555557,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,,0.002,,,,1.2156356524138339
BTCUSDT,1d,120 days ago UTC,16,arima,73,time,0.2,,direction,0.0,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.4666666666666667,"[[0, 5], [0, 9]]",0.62,1,1.0,0.0015042188038206148,0.021059063253488608,0.021059063253488608,5.106018857331863,,0.002,,,,0.6512176098981113
BTCUSDT,4h,365 days ago UTC,16,logreg,2143,time,0.2,,direction,0.0,0.48598130841121495,0.48598130841121495,1.0,0.6540880503144654,0.4877185314685315,"[[0, 220], [0, 208]]",0.52,0,,0.0,,0.0,,,0.002,,,,0.6944314851616046
