symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,thresholds_file
BTCUSDT,15m,120 days ago UTC,20,logreg,11500,time,0.2,,direction,0.0,0.5334782608695652,0.5210762331838565,0.51875,0.519910514541387,0.5314300847457627,"[[646, 534], [539, 581]]",
BTCUSDT,15m,120 days ago UTC,20,hgb,11500,time,0.2,,direction,0.0,0.5078260869565218,0.49466192170818507,0.49642857142857144,0.49554367201426025,0.5135351089588378,"[[612, 568], [564, 556]]",
BTCUSDT,15m,120 days ago UTC,20,rf,11500,time,0.2,,direction,0.0,0.5117391304347826,0.4987735077677841,0.5446428571428571,0.5206999573196757,0.513874470338983,"[[567, 613], [510, 610]]",
BTCUSDT,15m,120 days ago UTC,20,hgb,11500,time,0.2,,direction,0.0,0.5078260869565218,0.49466192170818507,0.49642857142857144,0.49554367201426025,0.5135351089588378,"[[612, 568], [564, 556]]",
BTCUSDT,15m,120 days ago UTC,20,linsvc,11500,time,0.2,,direction,0.0,0.5369565217391304,0.5262154432793136,0.4928571428571429,0.5089903181189488,0.5354509685230024,"[[683, 497], [568, 552]]",
BTCUSDT,1h,120 days ago UTC,20,logreg,2860,time,0.2,,direction,0.0,0.49475524475524474,0.48205128205128206,0.6836363636363636,0.5654135338345865,0.5325619834710743,"[[95, 202], [87, 188]]",
BTCUSDT,1h,120 days ago UTC,20,hgb,2860,time,0.2,,direction,0.0,0.4982517482517482,0.4793103448275862,0.5054545454545455,0.4920353982300885,0.4888276706458524,"[[146, 151], [136, 139]]",
BTCUSDT,1h,120 days ago UTC,20,rf,2860,time,0.2,,direction,0.0,0.48776223776223776,0.4689655172413793,0.49454545454545457,0.4814159292035398,0.4764677073767983,"[[143, 154], [139, 136]]",
BTCUSDT,1h,120 days ago UTC,20,hgb,2860,time,0.2,,direction,0.0,0.4982517482517482,0.4793103448275862,0.5054545454545455,0.4920353982300885,0.4888276706458524,"[[146, 151], [136, 139]]",
BTCUSDT,1h,120 days ago UTC,20,linsvc,2860,time,0.2,,direction,0.0,0.5,0.4885654885654886,0.8545454545454545,0.6216931216931217,0.5239302112029385,"[[51, 246], [40, 235]]",
BTCUSDT,4h,120 days ago UTC,20,logreg,700,time,0.2,,direction,0.0,0.44285714285714284,0.42718446601941745,0.6984126984126984,0.5301204819277109,0.48526077097505665,"[[18, 59], [19, 44]]",
BTCUSDT,4h,120 days ago UTC,20,hgb,700,time,0.2,,direction,0.0,0.4642857142857143,0.43333333333333335,0.6190476190476191,0.5098039215686274,0.5116470830756544,"[[26, 51], [24, 39]]",
BTCUSDT,4h,120 days ago UTC,20,rf,700,time,0.2,,direction,0.0,0.4785714285714286,0.4489795918367347,0.6984126984126984,0.546583850931677,0.4956709956709956,"[[23, 54], [19, 44]]",
