symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct,mape_bps,task,sharpe_like_z,total_net_return_z,avg_net_ret_per_bar_z,trades_z,n_runs,median_sharpe,med_sharpe_z,score
BTCUSDT,1d,720 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],54.0,13,,56.62566716139527,,736.1336730981385,0.5549686576114241,2.051766765335567,0.002,-0.092434392781707,128.9756254703117,176.7440605736981,172.9447815618097,,regress,1.8708274276516417,-1.8708286933429799,-1.8708286930471745,1.8708286888869725,2,0.5549686576114241,1.8708274276516417,0.374165105421697
BTCUSDT,1d,720 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],54.0,13,,56.62566716139527,,736.1336730981385,0.5549686576114241,2.051766765335567,0.002,-0.09241018521477,128.97322337123447,176.74290388910683,172.93033860808876,,regress,1.8708274276516417,-1.8708286933429799,-1.8708286930471745,1.8708286888869725,2,0.5549686576114241,1.8708274276516417,0.374165105421697
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],29.0,12,,69.86888869720468,,838.4266643664562,0.5514134143617779,3.022257637053513,0.002,-0.2783793057441166,172.7057949170763,214.841434210326,548.1308840254123,,regress,-0.5345221221861941,0.5345224838122796,0.5345224837277638,-0.5345224825391326,7,0.5514134143617779,-0.5345221221861941,-0.10690431583477586
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],7.0,10,,39.77614423306243,,397.76144233062433,0.4717605254350868,4.02093544463858,0.002,-0.249953268753388,102.22753006760524,134.6565854839562,403.4156536897303,,regress,2.6449368429168456,-2.5437605524371247,2.6439909529061,-2.645751309731257,1,0.4717605254350868,2.6457512405249326,0.8185925151923352
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.683864512964277,,426.9418322074284,0.3586510161657211,1.6737292968523665,0.002,-0.1363789653519158,91.92171887625426,128.59317585394007,369.4155302280442,,regress,-0.356937878807627,0.5971428926272053,-0.34670862264832786,0.377964472818751,7,0.3583491495348043,-0.377964462932132,-0.0444443915686115
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,16,,26.68159970449143,,426.90559527186286,0.3586382859483678,1.673587238107805,0.002,-0.1363833833710459,91.9211344095516,128.592539887688,369.4154729538285,,regress,-0.3572757329626121,0.5932424404318505,-0.3472259780580248,0.377964472818751,7,0.3583491495348043,-0.377964462932132,-0.04564914229864806
