symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip
ETHUSDT,1h,120 days ago UTC,20,logreg,2821,time,0.2,,ret_gt_bps,30.0,0.6879432624113475,0.0,0.0,0.0,0.5297524314765694,"[[388, 2], [174, 0]]",0.51,1,0.0,-5.8569144744042985e-06,-0.0033032997635640245,-0.003303299763564027,-3.94105504828555,0.003
ETHUSDT,1h,120 days ago UTC,20,sgdlog,2821,time,0.2,,ret_gt_bps,30.0,0.6914893617021277,0.0,0.0,0.0,0.5292513999410551,"[[390, 0], [174, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,120 days ago UTC,20,rf,2821,time,0.2,,ret_gt_bps,30.0,0.5088652482269503,0.3217993079584775,0.5344827586206896,0.4017278617710583,0.5147509578544062,"[[194, 196], [81, 93]]",0.605,4,0.75,-2.1209377860992053e-06,-0.00029905222783998793,-0.0013857220607944587,-0.24223456573041263,0.003
ETHUSDT,1h,120 days ago UTC,20,hgb,2821,time,0.2,,ret_gt_bps,30.0,0.6861702127659575,0.3333333333333333,0.017241379310344827,0.03278688524590164,0.5713748894783377,"[[384, 6], [171, 3]]",0.695,1,1.0,1.2293605651596946e-05,0.0069335935875006775,0.006933593587500786,3.94105504828555,0.003
ETHUSDT,1h,120 days ago UTC,20,linsvc,2821,time,0.2,,ret_gt_bps,30.0,0.6914893617021277,0.0,0.0,0.0,0.5199528440907751,"[[390, 0], [174, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,120 days ago UTC,20,bilstm,141,time,0.2,,ret_gt_bps,30.0,0.8571428571428571,0.0,0.0,0.0,0.5208333333333334,"[[24, 0], [4, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,120 days ago UTC,20,gru_lstm,141,time,0.2,,ret_gt_bps,30.0,0.8571428571428571,0.0,0.0,0.0,0.45833333333333326,"[[24, 0], [4, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,120 days ago UTC,20,hybrid_transformer,141,time,0.2,,ret_gt_bps,30.0,0.8571428571428571,0.0,0.0,0.0,0.37499999999999994,"[[24, 0], [4, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,120 days ago UTC,20,voting_soft,2821,time,0.2,,ret_gt_bps,30.0,0.6897163120567376,0.4,0.011494252873563218,0.0223463687150838,0.5723695844385499,"[[387, 3], [172, 2]]",0.61,1,1.0,1.2293605651596946e-05,0.0069335935875006775,0.006933593587500786,3.94105504828555,0.003
ETHUSDT,1h,120 days ago UTC,20,stacking,2821,time,0.2,,ret_gt_bps,30.0,0.6897163120567376,0.4,0.011494252873563218,0.0223463687150838,0.5574860005894489,"[[387, 3], [172, 2]]",0.545,1,1.0,2.1277288477498047e-06,0.0012000390701308898,0.0012000390701309982,3.94105504828555,0.003
ETHUSDT,1h,120 days ago UTC,20,metalabel,2821,time,0.2,,ret_gt_bps,30.0,0.6861702127659575,0.2,0.005747126436781609,0.0111731843575419,0.5555481874447391,"[[386, 4], [173, 1]]",0.6,1,1.0,1.2293605651596946e-05,0.0069335935875006775,0.006933593587500786,3.94105504828555,0.003
ETHUSDT,4h,120 days ago UTC,20,logreg,661,time,0.2,,ret_gt_bps,30.0,0.5378787878787878,0.4,0.25925925925925924,0.3146067415730337,0.45940170940170943,"[[57, 21], [40, 14]]",0.645,1,1.0,8.320384975464198e-06,0.001098290816761274,0.0010982908167613825,4.073193966767247,0.003
ETHUSDT,4h,120 days ago UTC,20,sgdlog,661,time,0.2,,ret_gt_bps,30.0,0.5909090909090909,0.0,0.0,0.0,0.491690408357075,"[[78, 0], [54, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,4h,120 days ago UTC,20,rf,661,time,0.2,,ret_gt_bps,30.0,0.6212121212121212,0.8333333333333334,0.09259259259259259,0.16666666666666666,0.5183998100664768,"[[77, 1], [49, 5]]",0.5,6,0.8333333333333334,0.0002820656346517333,0.006205443962338133,0.03770947843748029,7.314881227471211,0.003
ETHUSDT,4h,120 days ago UTC,20,hgb,661,time,0.2,,ret_gt_bps,30.0,0.6060606060606061,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.5605413105413106,"[[76, 2], [50, 4]]",0.555,3,1.0,0.00016547881041147964,0.007281067658105104,0.021966740027503207,5.887244552022611,0.003
ETHUSDT,4h,120 days ago UTC,20,linsvc,661,time,0.2,,ret_gt_bps,30.0,0.5833333333333334,0.4,0.037037037037037035,0.06779661016949153,0.4097815764482431,"[[75, 3], [52, 2]]",0.515,1,1.0,8.320384975464198e-06,0.001098290816761274,0.0010982908167613825,4.073193966767247,0.003
ETHUSDT,4h,120 days ago UTC,20,bilstm,33,time,0.2,,ret_gt_bps,30.0,0.5,0.0,0.0,0.0,0.7777777777777778,"[[3, 0], [3, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,4h,120 days ago UTC,20,gru_lstm,33,time,0.2,,ret_gt_bps,30.0,0.3333333333333333,0.4,0.6666666666666666,0.5,0.22222222222222224,"[[0, 3], [1, 2]]",0.525,2,0.5,0.0016901854859991232,0.0050705564579973696,0.010138143296505087,18.475508630214485,0.003
ETHUSDT,4h,120 days ago UTC,20,hybrid_transformer,33,time,0.2,,ret_gt_bps,30.0,0.5,0.0,0.0,0.0,0.22222222222222224,"[[3, 0], [3, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,4h,120 days ago UTC,20,voting_soft,661,time,0.2,,ret_gt_bps,30.0,0.6136363636363636,1.0,0.05555555555555555,0.10526315789473684,0.5451092117758785,"[[78, 0], [51, 3]]",0.5,3,1.0,0.00016547881041147964,0.007281067658105104,0.021966740027503207,5.887244552022611,0.003
ETHUSDT,4h,120 days ago UTC,20,stacking,661,time,0.2,,ret_gt_bps,30.0,0.5909090909090909,0.0,0.0,0.0,0.4677113010446343,"[[78, 0], [54, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,365 days ago UTC,20,logreg,8701,time,0.2,,ret_gt_bps,30.0,0.7132183908045977,0.4,0.004016064257028112,0.007952286282306162,0.5542362687464836,"[[1239, 3], [496, 2]]",0.53,1,1.0,6.896776265120057e-07,0.0012000390701308898,0.0012000390701309982,2.2437653082755094,0.003
ETHUSDT,1h,365 days ago UTC,20,sgdlog,8701,time,0.2,,ret_gt_bps,30.0,0.7137931034482758,0.0,0.0,0.0,0.48294627786508354,"[[1242, 0], [498, 0]]",0.5,0,,0.0,,0.0,,0.003
