symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,thresholds_file
BTCUSDT,30m,200 days ago UTC,20,hgb,9542,time,0.2,,direction,0.0,0.510482180293501,0.5007132667617689,0.75,0.6005132591958939,0.5191615226337448,"[[272, 700], [234, 702]]",
BTCUSDT,30m,200 days ago UTC,20,rf,9542,time,0.2,,direction,0.0,0.5361635220125787,0.5229522952295229,0.6207264957264957,0.5676599902296043,0.5465875716647322,"[[442, 530], [355, 581]]",
BTCUSDT,30m,200 days ago UTC,20,hgb,9542,time,0.2,,direction,0.0,0.5110062893081762,0.5010706638115632,0.75,0.6007702182284981,0.5192989166754599,"[[273, 699], [234, 702]]",
BTCUSDT,30m,200 days ago UTC,20,linsvc,9542,time,0.2,,direction,0.0,0.4916142557651992,0.4909862142099682,0.9893162393162394,0.6562721474131822,0.5220907636031092,"[[12, 960], [10, 926]]",
BTCUSDT,1h,200 days ago UTC,20,logreg,4742,time,0.2,,direction,0.0,0.4947257383966245,0.4903954802259887,0.9393939393939394,0.6443949517446177,0.5282587782587783,"[[35, 451], [28, 434]]",
BTCUSDT,1h,200 days ago UTC,20,hgb,4742,time,0.2,,direction,0.0,0.5221518987341772,0.5070422535211268,0.7012987012987013,0.5885558583106267,0.5216138456879198,"[[171, 315], [138, 324]]",
BTCUSDT,1h,200 days ago UTC,20,rf,4742,time,0.2,,direction,0.0,0.5179324894514767,0.5038051750380518,0.7164502164502164,0.5915996425379804,0.5298153492597937,"[[160, 326], [131, 331]]",
BTCUSDT,1h,200 days ago UTC,20,hgb,4742,time,0.2,,direction,0.0,0.5221518987341772,0.5070422535211268,0.7012987012987013,0.5885558583106267,0.5216138456879198,"[[171, 315], [138, 324]]",
BTCUSDT,1h,200 days ago UTC,20,linsvc,4742,time,0.2,,direction,0.0,0.49261603375527424,0.4896626768226333,0.974025974025974,0.6517016654598118,0.5284324728769173,"[[17, 469], [12, 450]]",
BTCUSDT,4h,200 days ago UTC,20,logreg,1142,time,0.2,,direction,0.0,0.4824561403508772,0.4790697674418605,0.944954128440367,0.6358024691358025,0.47405751291342224,"[[7, 112], [6, 103]]",
