symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,4h,365 days ago UTC,16,svr,2046,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0009252903512548816,48.160177527757895,68.94891274555687,122.85146071940969
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.09636921122813735,-0.4761859786236337,0.0023,-0.26570253771260566,56.37314016584713,77.53280202272603,290.8150551680532
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.09647048919867923,-0.4761859786236337,0.0023,-0.26567093987708734,56.37192368008301,77.53146867551138,290.8396534587285
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.09624974209711096,-0.4761859786236337,0.0023,-0.2657398384927039,56.37457956785075,77.53438975398893,290.78761203387285
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.09555205762579355,-0.4761859786236337,0.0023,-0.26595830039260737,56.38308435314058,77.5439933250698,290.65478171693474
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.095383880258811,-0.4761859786236337,0.0023,-0.26601113197473225,56.385160658685635,77.54639563741785,290.6283654362652
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.09624798300408999,-0.4761859786236337,0.0023,-0.26574038794392796,56.37460079796879,77.53441325339932,290.7872199785946
BTCUSDT,4h,365 days ago UTC,16,arima,2046,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0018445633556281038,48.22321194409112,68.9798685282505,132.43193677251247
BTCUSDT,8h,365 days ago UTC,16,linreg,1023,time,0.2,,return_bps,0.0,,,,,,[],60.0,89,,-6.289732844835727,,-559.7862231903797,-0.07442145344419346,0.06066560967527851,-0.11223610981110854,0.0023,-0.7206325671135789,102.01391541490838,131.90975847336995,506.810182583825
BTCUSDT,8h,365 days ago UTC,16,linreg,1023,time,0.2,,return_bps,0.0,,,,,,[],60.0,89,,-6.245800168856723,,-555.8762150282483,-0.07391700188127372,0.061084072417310564,-0.11137756628773575,0.0023,-0.7202151806178096,101.99474870823128,131.889344798702,507.6327736645584
BTCUSDT,8h,365 days ago UTC,16,rf_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],23.0,15,,19.137403234455473,,287.0610485168321,0.17444804683775542,0.5526256639951262,0.26299571404049715,0.0023,-0.18743834427397799,80.70218526793624,109.58014753917747,262.656820641713
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.25621718769286694,86.09962056533362,112.71070070952852,329.7164626734463
BTCUSDT,8h,365 days ago UTC,16,svr,1023,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0009557828917314826,72.8575507518716,100.61250746167471,105.9044899658594
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.2561576595816386,86.09348576890629,112.71063804029717,329.6827218973565
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.25624376876505117,86.10474105126134,112.71080517293507,329.747634019756
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.25624354889469547,86.10469848695607,112.71080410897919,329.74735997070985
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.25623021285987213,86.10212334648531,112.71074584000323,329.731258675842
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.25621345465530254,86.09890548500455,112.71068989747071,329.71238013205493
BTCUSDT,8h,365 days ago UTC,16,hgb_reg,1023,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,11.498008558498535,,126.47809414348389,0.15662116187399772,0.1893341677821726,0.35955339417583615,0.0023,-0.25627274049482685,86.11038082171376,112.71097514862156,329.7864491776229
BTCUSDT,8h,365 days ago UTC,16,arima,1023,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.003018671263746331,72.83643275304105,100.71597990136503,112.83830516062974
BTCUSDT,1d,365 days ago UTC,16,linreg,318,time,0.2,,return_bps,0.0,,,,,,[],26.0,52,,-17.367761802836206,,-903.1236137474826,-0.08819274336132422,0.14825178318283316,-0.10760261047184856,0.0023,-0.8121462746525596,214.60368545251902,261.9199064640436,914.3976025629348
BTCUSDT,1d,365 days ago UTC,16,linreg,318,time,0.2,,return_bps,0.0,,,,,,[],26.0,52,,-17.367761802836206,,-903.1236137474826,-0.08819274336132422,0.14825178318283316,-0.10760261047184856,0.0023,-0.8121657154293276,214.60950176349485,261.92049293679776,914.4439521377351
BTCUSDT,1d,365 days ago UTC,16,rf_reg,318,time,0.2,,return_bps,0.0,,,,,,[],59.0,27,,27.065932814392767,,730.7801859886047,0.15457380511916421,0.5972447306899933,0.2175218284838515,0.0023,-0.05596545305473066,147.24029958088784,199.9413489058764,410.8994011617356
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.15058598831357917,164.7607752766881,208.70961068139206,491.8860596324213
BTCUSDT,1d,365 days ago UTC,16,svr,318,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0026697739015684174,139.765931648678,194.83963137473185,109.59285702386146
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.1507394433692486,164.98719792292215,208.76130086493288,491.66216967459303
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.1507402301690195,164.9884521511183,208.76163024582362,491.66134486191265
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.15073225232425314,164.9757858246094,208.75832564827698,491.6698170605067
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.15062591763312416,164.8165815400556,208.72091495393423,491.81234032968246
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.15061835228984655,164.80585857811442,208.71866996920693,491.82522074601724
BTCUSDT,1d,365 days ago UTC,16,hgb_reg,318,time,0.2,,return_bps,0.0,,,,,,[],31.0,14,,89.43692140129703,,1252.1168996181584,0.6339612561358113,0.8597076226829249,4.0281330718105615,0.0023,-0.1506699248647203,164.88045069897018,208.735005204658,491.7456295632629
BTCUSDT,1d,365 days ago UTC,16,arima,318,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.010677213170234623,140.5891055715538,195.641594683801,137.2224523085784
BTCUSDT,4h,720 days ago UTC,16,linreg,4273,time,0.2,,return_bps,0.0,,,,,,[],3.0,1,,148.70781325404062,,148.70781325404062,148707813254.04062,,,0.0023,-0.05482103948722217,49.89565912772461,69.67586610671955,238.6330798906533
BTCUSDT,4h,720 days ago UTC,16,linreg,4273,time,0.2,,return_bps,0.0,,,,,,[],3.0,1,,148.70781325404062,,148.70781325404062,148707813254.04062,,,0.0023,-0.054848331712358256,49.891818830564304,69.67391663958746,238.63095563643904
