symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,2,,1.8136559835946393,,3.6273119671892786,0.05684285356349932,1813655983.5946393,0.002,-0.2669128351998473,59.15349963272639,84.4329441402951,245.59357978389866
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],57.0,2,,1.8136559835946393,,3.6273119671892786,0.05684285356349932,1813655983.5946393,0.002,-0.2669128351998473,59.15349963272639,84.4329441402951,245.59357978389866
BTCUSDT,4h,120 days ago UTC,16,rf_reg,673,time,0.2,,return_bps,0.0,,,,,,[],51.0,21,,-3.014852903813822,,-63.31191098009026,-0.06816943615149157,-0.20903117466936094,0.002,-0.8615920675031217,82.75274522365575,102.35051623437506,439.65916311225595
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.651116188030176,,-139.16227806833194,-0.5161390786140053,-0.9679381674181422,0.002,-0.32188733434395056,63.413217140866124,86.25016675482729,292.40207638997464
BTCUSDT,4h,120 days ago UTC,16,svr,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.005033640240990067,50.96017704093098,75.20609206184498,103.79006752410905
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.651116188030176,,-139.16227806833194,-0.5161390786140053,-0.9679381674181422,0.002,-0.32188733434395056,63.413217140866124,86.25016675482729,292.40207638997464
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.651116188030176,,-139.16227806833194,-0.5161390786140053,-0.9679381674181422,0.002,-0.32188733434395056,63.413217140866124,86.25016675482729,292.40207638997464
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.651116188030176,,-139.16227806833194,-0.5161390786140053,-0.9679381674181422,0.002,-0.32188733434395056,63.413217140866124,86.25016675482729,292.40207638997464
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.651116188030176,,-139.16227806833194,-0.5161390786140053,-0.9679381674181422,0.002,-0.32188733434395056,63.413217140866124,86.25016675482729,292.40207638997464
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.594682596683919,,-138.5415085635231,-0.5151003748798533,-0.969959213312202,0.002,-0.3217553748005446,63.40858453262127,86.24473730187057,292.5111392611299
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],55.0,11,,-12.135926888551637,,-133.495195774068,-0.505541693466279,-0.9800523546261087,0.002,-0.32067061395815677,63.3709254819537,86.20182581151765,293.7740403942526
BTCUSDT,4h,120 days ago UTC,16,arima,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,0.002,-0.004863887790874877,50.908792683790395,75.19163920428382,103.67874652081622
