symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip
BTCUSDT,1h,365 days ago UTC,16,logreg,8714,time,0.2,,direction,0.0,0.518369690011481,0.5186873290793071,0.6465909090909091,0.5756196256954982,0.5240917000632778,"[[334, 528], [311, 569]]",0.605,4,0.5,2.4607468187319493e-06,0.001071040052853081,0.004281126000279967,1.9448435803898925,0.003
BTCUSDT,1h,365 days ago UTC,16,rf,8714,time,0.2,,direction,0.0,0.5028702640642939,0.5170731707317073,0.2409090909090909,0.32868217054263565,0.5257052836954229,"[[664, 198], [668, 212]]",0.705,1,0.0,-3.5106794747226864e-06,-0.006112092965492197,-0.0061120929654922,-2.2431208259102755,0.003
BTCUSDT,1h,365 days ago UTC,16,hgb,8714,time,0.2,,direction,0.0,0.5086107921928817,0.5365853658536586,0.2,0.2913907284768212,0.5213608679603459,"[[710, 152], [704, 176]]",0.8,2,0.5,-3.413386986379476e-06,-0.002971353371643334,-0.005986822163071892,-1.1990366470689013,0.003
BTCUSDT,1h,365 days ago UTC,16,linsvc,8714,time,0.2,,direction,0.0,0.5327210103329506,0.5406403940886699,0.49886363636363634,0.5189125295508275,0.5292026998523518,"[[489, 373], [441, 439]]",0.59,1,0.0,-1.381869625460387e-08,-2.4058350179265338e-05,-2.405835017926794e-05,-2.243120825910275,0.003
BTCUSDT,1h,365 days ago UTC,16,bilstm,8699,time,0.2,,direction,0.0,0.5106382978723404,0.5136186770428015,0.6006825938566553,0.5537493445201888,0.5252281927137075,"[[360, 500], [351, 528]]",0.77,1,0.0,-2.103019763523709e-06,-0.003655048349004206,-0.0036550483490042085,-2.245055941288922,0.003
BTCUSDT,1h,365 days ago UTC,16,gru_lstm,8699,time,0.2,,direction,0.0,0.5106382978723404,0.5228013029315961,0.3651877133105802,0.43000669792364365,0.5086356060004762,"[[567, 293], [558, 321]]",0.62,2,0.5,-2.6715969971478445e-06,-0.002321617790521477,-0.004644652282869033,-2.1105730994862437,0.003
BTCUSDT,1h,365 days ago UTC,16,hybrid_transformer,8699,time,0.2,,direction,0.0,0.5123634272570443,0.5203679369250985,0.45051194539249145,0.48292682926829267,0.5180543429372702,"[[495, 365], [483, 396]]",0.74,2,1.0,2.1522408367814025e-06,0.001870297287163039,0.003740950565532808,2.3044877444231444,0.003
BTCUSDT,1h,365 days ago UTC,16,voting_soft,8714,time,0.2,,direction,0.0,0.5028702640642939,0.519774011299435,0.20909090909090908,0.29821717990275526,0.5280386521830838,"[[692, 170], [696, 184]]",0.645,3,0.6666666666666666,-2.1199407936081073e-06,-0.001230272307223905,-0.003748414005349754,-0.7298160341397757,0.003
BTCUSDT,1h,365 days ago UTC,16,stacking,8714,time,0.2,,direction,0.0,0.5045924225028703,0.5055957867017775,0.8727272727272727,0.6402667778240934,0.487643693313647,"[[111, 751], [112, 768]]",0.625,1,0.0,-2.0445885436505792e-06,-0.0035596286544956586,-0.0035596286544956612,-2.243120825910275,0.003
BTCUSDT,1h,365 days ago UTC,16,metalabel,8714,time,0.2,,direction,0.0,0.49598163030998854,0.5045871559633027,0.125,0.20036429872495445,0.5214399651972158,"[[754, 108], [770, 110]]",0.74,2,0.5,-3.413386986379476e-06,-0.002971353371643334,-0.005986822163071892,-1.1990366470689013,0.003
BTCUSDT,4h,365 days ago UTC,16,logreg,2144,time,0.2,,direction,0.0,0.4439252336448598,0.40963855421686746,0.15246636771300448,0.2222222222222222,0.4569397353166357,"[[156, 49], [189, 34]]",0.625,1,0.0,-1.10398950810705e-05,-0.004714035199617103,-0.004714035199617106,-2.2646866495409244,0.003
BTCUSDT,4h,365 days ago UTC,16,rf,2144,time,0.2,,direction,0.0,0.5,0.5584415584415584,0.19282511210762332,0.2866666666666667,0.5336869736410368,"[[171, 34], [180, 43]]",0.565,16,0.375,-5.733814849112465e-05,-0.0015302118378568888,-0.025351726800971308,-1.142662101797688,0.003
