symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,thresholds_file
BTCUSDT,30m,120 days ago UTC,20,logreg,5702,time,0.2,,direction,0.0,0.5482456140350878,0.528125,0.6134301270417423,0.5675902602854744,0.5594273723651086,"[[287, 302], [213, 338]]",THRESH_120_days_ago_UTC_BTCUSDT_30m_logreg_20250831_232714.csv
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.5105263157894737,0.4948453608247423,0.6098003629764065,0.5463414634146342,0.5362991813002443,"[[246, 343], [215, 336]]",THRESH_120_days_ago_UTC_BTCUSDT_30m_hgb_20250831_232720.csv
BTCUSDT,30m,120 days ago UTC,20,rf,5702,time,0.2,,direction,0.0,0.5210526315789473,0.5035063113604488,0.6515426497277677,0.5680379746835443,0.5495826387583619,"[[235, 354], [192, 359]]",THRESH_120_days_ago_UTC_BTCUSDT_30m_rf_20250831_232723.csv
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.5105263157894737,0.4948453608247423,0.6098003629764065,0.5463414634146342,0.5362837748313761,"[[246, 343], [215, 336]]",THRESH_120_days_ago_UTC_BTCUSDT_30m_hgb_20250831_232725.csv
BTCUSDT,30m,120 days ago UTC,20,linsvc,5702,time,0.2,,direction,0.0,0.5456140350877193,0.5246636771300448,0.6370235934664247,0.5754098360655737,0.55885117042944,"[[271, 318], [200, 351]]",THRESH_120_days_ago_UTC_BTCUSDT_30m_linsvc_20250831_232727.csv
BTCUSDT,1h,120 days ago UTC,20,logreg,2822,time,0.2,,direction,0.0,0.4875886524822695,0.48663101604278075,0.9963503649635036,0.6538922155688622,0.5157311855021395,"[[2, 288], [1, 273]]",THRESH_120_days_ago_UTC_BTCUSDT_1h_logreg_20250831_232730.csv
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5212765957446809,0.5053763440860215,0.6861313868613139,0.5820433436532507,0.53551472438963,"[[106, 184], [86, 188]]",THRESH_120_days_ago_UTC_BTCUSDT_1h_hgb_20250831_232731.csv
BTCUSDT,1h,120 days ago UTC,20,rf,2822,time,0.2,,direction,0.0,0.4929078014184397,0.48404255319148937,0.6642335766423357,0.56,0.5059904354392146,"[[96, 194], [92, 182]]",THRESH_120_days_ago_UTC_BTCUSDT_1h_rf_20250831_232732.csv
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5212765957446809,0.5053763440860215,0.6861313868613139,0.5820433436532507,0.53551472438963,"[[106, 184], [86, 188]]",THRESH_120_days_ago_UTC_BTCUSDT_1h_hgb_20250831_232734.csv
BTCUSDT,1h,120 days ago UTC,20,linsvc,2822,time,0.2,,direction,0.0,0.4875886524822695,0.4865350089766607,0.9890510948905109,0.6522262334536703,0.516574377045054,"[[4, 286], [3, 271]]",THRESH_120_days_ago_UTC_BTCUSDT_1h_linsvc_20250831_232734.csv
BTCUSDT,2h,120 days ago UTC,20,logreg,1382,time,0.2,,direction,0.0,0.4891304347826087,0.4801587301587302,0.9236641221374046,0.6318537859007833,0.5317715188207424,"[[14, 131], [10, 121]]",THRESH_120_days_ago_UTC_BTCUSDT_2h_logreg_20250831_232735.csv
BTCUSDT,2h,120 days ago UTC,20,hgb,1382,time,0.2,,direction,0.0,0.5072463768115942,0.48554913294797686,0.6412213740458015,0.5526315789473685,0.5055540931824164,"[[56, 89], [47, 84]]",THRESH_120_days_ago_UTC_BTCUSDT_2h_hgb_20250831_232736.csv
BTCUSDT,2h,120 days ago UTC,20,rf,1382,time,0.2,,direction,0.0,0.532608695652174,0.5057471264367817,0.6717557251908397,0.5770491803278689,0.518399578836536,"[[59, 86], [43, 88]]",THRESH_120_days_ago_UTC_BTCUSDT_2h_rf_20250831_232738.csv
BTCUSDT,2h,120 days ago UTC,20,hgb,1382,time,0.2,,direction,0.0,0.5072463768115942,0.48554913294797686,0.6412213740458015,0.5526315789473685,0.5055540931824164,"[[56, 89], [47, 84]]",THRESH_120_days_ago_UTC_BTCUSDT_2h_hgb_20250831_232739.csv
BTCUSDT,2h,120 days ago UTC,20,linsvc,1382,time,0.2,,direction,0.0,0.4782608695652174,0.47619047619047616,0.9923664122137404,0.6435643564356436,0.4944459068175836,"[[2, 143], [1, 130]]",THRESH_120_days_ago_UTC_BTCUSDT_2h_linsvc_20250831_232739.csv
BTCUSDT,4h,120 days ago UTC,20,logreg,662,time,0.2,,direction,0.0,0.4393939393939394,0.43859649122807015,0.8333333333333334,0.5747126436781609,0.5141203703703704,"[[8, 64], [10, 50]]",THRESH_120_days_ago_UTC_BTCUSDT_4h_logreg_20250831_232740.csv
BTCUSDT,4h,120 days ago UTC,20,hgb,662,time,0.2,,direction,0.0,0.5303030303030303,0.4868421052631579,0.6166666666666667,0.5441176470588235,0.5159722222222223,"[[33, 39], [23, 37]]",THRESH_120_days_ago_UTC_BTCUSDT_4h_hgb_20250831_232741.csv
BTCUSDT,4h,120 days ago UTC,20,rf,662,time,0.2,,direction,0.0,0.49242424242424243,0.4606741573033708,0.6833333333333333,0.5503355704697986,0.5329861111111112,"[[24, 48], [19, 41]]",THRESH_120_days_ago_UTC_BTCUSDT_4h_rf_20250831_232742.csv
BTCUSDT,4h,120 days ago UTC,20,hgb,662,time,0.2,,direction,0.0,0.5303030303030303,0.4868421052631579,0.6166666666666667,0.5441176470588235,0.5159722222222223,"[[33, 39], [23, 37]]",THRESH_120_days_ago_UTC_BTCUSDT_4h_hgb_20250831_232743.csv
BTCUSDT,4h,120 days ago UTC,20,linsvc,662,time,0.2,,direction,0.0,0.5151515151515151,0.4818181818181818,0.8833333333333333,0.6235294117647059,0.5298611111111111,"[[15, 57], [7, 53]]",THRESH_120_days_ago_UTC_BTCUSDT_4h_linsvc_20250831_232743.csv
BTCUSDT,30m,365 days ago UTC,20,logreg,17462,time,0.2,,direction,0.0,0.5249140893470791,0.5224576271186441,0.6985835694050991,0.5978181818181818,0.5264092541225758,"[[600, 1127], [532, 1233]]",THRESH_365_days_ago_UTC_BTCUSDT_30m_logreg_20250831_232751.csv
