symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip
BTCUSDT,30m,120 days ago UTC,20,logreg,5702,time,0.2,,direction,0.0,0.5552631578947368,0.5321637426900585,0.6606170598911071,0.5894736842105263,0.5600836879388918,"[[269, 320], [187, 364]]",0.58,4,0.25,-6.576396606054561e-06,-0.0018726289335740363,-0.007486045731671331,-4.276352240940181,0.003
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.5149122807017544,0.4987244897959184,0.7096188747731398,0.5857677902621723,0.5511941554019701,"[[196, 393], [160, 391]]",0.75,168,0.05357142857142857,-0.00042446612873011925,-0.0028777792894262248,-0.38401862327673164,-43.147679928732614,0.003
BTCUSDT,30m,120 days ago UTC,20,rf,5702,time,0.2,,direction,0.0,0.5210526315789473,0.5036818851251841,0.6206896551724138,0.5560975609756098,0.5458558139391567,"[[252, 337], [209, 342]]",0.7,2,0.0,-2.489670236320217e-06,-0.0014178671995843635,-0.002833931648272392,-5.2824526722050065,0.003
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.5149122807017544,0.4987244897959184,0.7096188747731398,0.5857677902621723,0.5511941554019701,"[[196, 393], [160, 391]]",0.75,168,0.05357142857142857,-0.00042446612873011925,-0.0028777792894262248,-0.38401862327673164,-43.147679928732614,0.003
BTCUSDT,30m,120 days ago UTC,20,linsvc,5702,time,0.2,,direction,0.0,0.5456140350877193,0.524517087667162,0.6406533575317604,0.576797385620915,0.5599881678319093,"[[269, 320], [198, 353]]",0.52,29,0.10344827586206896,-6.597147853536344e-05,-0.002591086691440655,-0.072535191524702,-16.682213899764562,0.003
BTCUSDT,1h,120 days ago UTC,20,logreg,2822,time,0.2,,direction,0.0,0.4875886524822695,0.48663101604278075,0.9963503649635036,0.6538922155688622,0.5157815252957463,"[[2, 288], [1, 273]]",0.75,56,0.125,-0.00031311937781642387,-0.0032052038129208476,-0.1621276424745104,-20.533036873575327,0.003
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5212765957446809,0.5053763440860215,0.6861313868613139,0.5820433436532507,0.5354014598540145,"[[106, 184], [86, 188]]",0.75,140,0.15,-0.0007148877671549716,-0.0028955526108507125,-0.3322622604052703,-32.027807111339385,0.003
BTCUSDT,1h,120 days ago UTC,20,rf,2822,time,0.2,,direction,0.0,0.4929078014184397,0.48404255319148937,0.6642335766423357,0.56,0.506191794613642,"[[96, 194], [92, 182]]",0.72,12,0.25,-4.3522805161217587e-05,-0.002041944942147125,-0.024292972515697953,-7.246487356154329,0.003
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5212765957446809,0.5053763440860215,0.6861313868613139,0.5820433436532507,0.5354014598540145,"[[106, 184], [86, 188]]",0.75,140,0.15,-0.0007148877671549716,-0.0028955526108507125,-0.3322622604052703,-32.027807111339385,0.003
BTCUSDT,1h,120 days ago UTC,20,linsvc,2822,time,0.2,,direction,0.0,0.4875886524822695,0.4865350089766607,0.9890510948905109,0.6522262334536703,0.5166247168386608,"[[4, 286], [3, 271]]",0.65,9,0.3333333333333333,-2.3605558855484698e-05,-0.0014766588484042093,-0.013255255939708999,-5.055514118068115,0.003
BTCUSDT,2h,120 days ago UTC,20,logreg,1382,time,0.2,,direction,0.0,0.4891304347826087,0.4801587301587302,0.9236641221374046,0.6318537859007833,0.5320873914187945,"[[14, 131], [10, 121]]",0.75,2,0.5,-2.0559671239245608e-06,-0.0002826954795396271,-0.0005658468443852094,-2.0306140237560752,0.003
BTCUSDT,2h,120 days ago UTC,20,hgb,1382,time,0.2,,direction,0.0,0.5072463768115942,0.48554913294797686,0.6412213740458015,0.5526315789473685,0.5052908660173729,"[[56, 89], [47, 84]]",0.71,105,0.14285714285714285,-0.0010515872826214283,-0.0027806394492393546,-0.2524453480021077,-20.276370392322853,0.003
BTCUSDT,2h,120 days ago UTC,20,rf,1382,time,0.2,,direction,0.0,0.532608695652174,0.5057471264367817,0.6717557251908397,0.5770491803278689,0.5182153198210055,"[[59, 86], [43, 88]]",0.75,7,0.0,-0.00015727154464510067,-0.006178524968200385,-0.04250748935155069,-9.003692421997414,0.003
BTCUSDT,2h,120 days ago UTC,20,hgb,1382,time,0.2,,direction,0.0,0.5072463768115942,0.48554913294797686,0.6412213740458015,0.5526315789473685,0.5052908660173729,"[[56, 89], [47, 84]]",0.71,105,0.14285714285714285,-0.0010515872826214283,-0.0027806394492393546,-0.2524453480021077,-20.276370392322853,0.003
BTCUSDT,2h,120 days ago UTC,20,linsvc,1382,time,0.2,,direction,0.0,0.4782608695652174,0.47619047619047616,0.9923664122137404,0.6435643564356436,0.4944459068175836,"[[2, 143], [1, 130]]",0.55,11,0.18181818181818182,-0.00015096985674145101,-0.0037742464185362744,-0.04083918314468682,-8.823413553079327,0.003
BTCUSDT,4h,120 days ago UTC,20,logreg,662,time,0.2,,direction,0.0,0.4393939393939394,0.43859649122807015,0.8333333333333334,0.5747126436781609,0.5141203703703704,"[[8, 64], [10, 50]]",0.75,46,0.30434782608695654,-0.0008229564089227894,-0.0023957175459752315,-0.10363986216900811,-7.847028678776776,0.003
