symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip,r2,mae_bps
BTCUSDT,8h,120 days ago UTC,16,stacking,313,time,0.2,,direction,0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.5252100840336135,"[[0, 28], [0, 34]]",0.56,22,0.45454545454545453,0.00018908640136207686,0.000532879858384035,0.010789968721268473,1.0947662851000581,0.003,,
BTCUSDT,1d,120 days ago UTC,16,logreg,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.15555555555555556,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,120 days ago UTC,16,sgdlog,73,time,0.2,,direction,0.0,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.8444444444444443,"[[0, 5], [0, 9]]",0.875,8,0.75,0.007822379065840214,0.013689163365220374,0.11424770973174647,12.499182038388401,0.003,,
BTCUSDT,1d,120 days ago UTC,16,rf,73,time,0.2,,direction,0.0,0.42857142857142855,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4666666666666667,"[[1, 4], [4, 5]]",0.535,7,0.7142857142857143,0.0024896472322005763,0.004979294464401153,0.03346468681684511,2.788500389154487,0.003,,
BTCUSDT,1d,120 days ago UTC,16,hgb,73,time,0.2,,direction,0.0,0.35714285714285715,0.5,0.4444444444444444,0.47058823529411764,0.2111111111111111,"[[1, 4], [5, 4]]",0.9,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,120 days ago UTC,16,linsvc,73,time,0.2,,direction,0.0,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.8444444444444443,"[[0, 5], [0, 9]]",0.875,8,0.75,0.007823919795375644,0.013691859641907377,0.11427129600930996,12.500020022201287,0.003,,
BTCUSDT,1d,120 days ago UTC,16,bilstm,58,time,0.2,,direction,0.0,0.2727272727272727,0.5,0.125,0.2,0.16666666666666669,"[[2, 1], [7, 1]]",0.51,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,120 days ago UTC,16,gru_lstm,58,time,0.2,,direction,0.0,0.36363636363636365,1.0,0.125,0.2222222222222222,0.37500000000000006,"[[3, 0], [7, 1]]",0.5,1,1.0,0.00026855947238501167,0.0029541541962351285,0.002954154196235237,5.760366149978504,0.003,,
BTCUSDT,1d,120 days ago UTC,16,hybrid_transformer,58,time,0.2,,direction,0.0,0.2727272727272727,0.0,0.0,0.0,0.9166666666666666,"[[3, 0], [8, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,120 days ago UTC,16,voting_soft,73,time,0.2,,direction,0.0,0.42857142857142855,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.28888888888888886,"[[1, 4], [4, 5]]",0.5,9,0.5555555555555556,0.0004560582326493187,0.0007094239174544958,0.004122267556864401,0.46722411506456096,0.003,,
BTCUSDT,1d,120 days ago UTC,16,stacking,73,time,0.2,,direction,0.0,0.35714285714285715,0.0,0.0,0.0,0.5333333333333333,"[[5, 0], [9, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,1d,120 days ago UTC,16,metalabel,73,time,0.2,,direction,0.0,0.35714285714285715,0.5,0.4444444444444444,0.47058823529411764,0.2,"[[1, 4], [5, 4]]",0.78,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,logreg,2143,time,0.2,,direction,0.0,0.49065420560747663,0.49065420560747663,1.0,0.658307210031348,0.5162079510703363,"[[0, 218], [0, 210]]",0.52,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,sgdlog,2143,time,0.2,,direction,0.0,0.5093457943925234,0.0,0.0,0.0,0.48381389252948886,"[[218, 0], [210, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,365 days ago UTC,16,rf,2143,time,0.2,,direction,0.0,0.5023364485981309,0.49491525423728816,0.6952380952380952,0.5782178217821782,0.5324595893403233,"[[69, 149], [64, 146]]",0.68,0,,0.0,,0.0,,0.003,,
