symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip
BTCUSDT,30m,120 days ago UTC,20,logreg,5702,time,0.2,,direction,0.0,0.5482456140350878,0.5294117647058824,0.6184448462929476,0.5704753961634695,0.5519067437640746,"[[283, 304], [211, 342]]",0.585,5,0.6,1.266365349416439e-07,2.8847802659706482e-05,0.0001409674991810217,0.22075218574077568,0.003
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.537719298245614,0.5239852398523985,0.5135623869801085,0.5187214611872146,0.5463631854743062,"[[329, 258], [269, 284]]",0.865,1,0.0,-1.1191550938852653e-06,-0.0012747176519353172,-0.0012747176519353198,-3.92197832217539,0.003
BTCUSDT,30m,120 days ago UTC,20,rf,5702,time,0.2,,direction,0.0,0.531578947368421,0.513909224011713,0.6347197106690777,0.5679611650485437,0.5600503371728007,"[[255, 332], [202, 351]]",0.68,2,0.0,-4.39789940545748e-06,-0.002504603711408035,-0.005002939507440796,-5.5466844659752095,0.003
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.537719298245614,0.5239852398523985,0.5135623869801085,0.5187214611872146,0.5463631854743062,"[[329, 258], [269, 284]]",0.865,1,0.0,-1.1191550938852653e-06,-0.0012747176519353172,-0.0012747176519353198,-3.92197832217539,0.003
BTCUSDT,30m,120 days ago UTC,20,linsvc,5702,time,0.2,,direction,0.0,0.5473684210526316,0.5439429928741093,0.4141048824593128,0.4702258726899384,0.5560532452689526,"[[395, 192], [324, 229]]",0.535,4,0.5,-2.1982720311839633e-06,-0.0006259579608796336,-0.002507700773598187,-2.6228730873204644,0.003
BTCUSDT,30m,120 days ago UTC,20,sgdlog,5702,time,0.2,,direction,0.0,0.5236842105263158,0.5083333333333333,0.5515370705244123,0.5290546400693842,0.528990083515346,"[[292, 295], [248, 305]]",0.545,2,0.0,-9.039832335697506e-06,-0.00514818451517973,-0.010270485097547133,-5.485070273048333,0.003
BTCUSDT,1h,120 days ago UTC,20,logreg,2822,time,0.2,,direction,0.0,0.4875886524822695,0.48663101604278075,0.9963503649635036,0.6538922155688622,0.5123206644852756,"[[2, 288], [1, 273]]",0.815,4,0.25,-1.1938917892203088e-05,-0.001680402693327585,-0.006731672092111229,-3.2770437247048214,0.003
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5159574468085106,0.5013477088948787,0.6788321167883211,0.5767441860465117,0.5437830354895544,"[[105, 185], [88, 186]]",0.9,17,0.35294117647058826,-7.894200837561455e-05,-0.0026143735714982933,-0.04367818954453706,-8.47571517870808,0.003
BTCUSDT,1h,120 days ago UTC,20,rf,2822,time,0.2,,direction,0.0,0.5,0.489010989010989,0.6496350364963503,0.5579937304075235,0.5160898565315881,"[[104, 186], [96, 178]]",0.74,3,0.6666666666666666,4.914548075901463e-06,0.000922296855577508,0.0027620178457707922,2.6153697322103273,0.003
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5159574468085106,0.5013477088948787,0.6788321167883211,0.5767441860465117,0.5435565064183236,"[[105, 185], [88, 186]]",0.9,17,0.35294117647058826,-7.894200837561455e-05,-0.0026143735714982933,-0.04367818954453706,-8.47571517870808,0.003
BTCUSDT,1h,120 days ago UTC,20,linsvc,2822,time,0.2,,direction,0.0,0.48404255319148937,0.4846846846846847,0.9817518248175182,0.6489746682750301,0.5135288195318399,"[[4, 286], [5, 269]]",0.655,7,0.42857142857142855,-1.2785505890317132e-05,-0.0010283199737497926,-0.007216301026443328,-3.0219469272940467,0.003
BTCUSDT,1h,120 days ago UTC,20,sgdlog,2822,time,0.2,,direction,0.0,0.5,0.49193548387096775,0.8905109489051095,0.6337662337662338,0.5352504404731941,"[[38, 252], [30, 244]]",0.53,2,0.5,-1.326726575567259e-05,-0.003734735310221834,-0.007482139060908333,-3.2702175802840467,0.003
BTCUSDT,2h,120 days ago UTC,20,logreg,1382,time,0.2,,direction,0.0,0.4782608695652174,0.4743083003952569,0.916030534351145,0.625,0.5251381942616478,"[[12, 133], [11, 120]]",0.75,1,1.0,1.6337800742775823e-06,0.0004492895204263351,0.00044928952042644354,3.9908987367850774,0.003
BTCUSDT,2h,120 days ago UTC,20,hgb,1382,time,0.2,,direction,0.0,0.5144927536231884,0.4913294797687861,0.648854961832061,0.5592105263157895,0.5124506449065543,"[[57, 88], [46, 85]]",0.9,45,0.1111111111111111,-0.0005602833516936334,-0.003501770948085209,-0.1432547495813743,-19.594403113754606,0.003
BTCUSDT,2h,120 days ago UTC,20,rf,1382,time,0.2,,direction,0.0,0.5108695652173914,0.48936170212765956,0.7022900763358778,0.5768025078369906,0.5043958936562254,"[[49, 96], [39, 92]]",0.805,1,0.0,-2.7484973955473075e-05,-0.007558367837755095,-0.007558367837755098,-3.9908987367850783,0.003
BTCUSDT,2h,120 days ago UTC,20,hgb,1382,time,0.2,,direction,0.0,0.5144927536231884,0.4913294797687861,0.648854961832061,0.5592105263157895,0.5124506449065543,"[[57, 88], [46, 85]]",0.9,45,0.1111111111111111,-0.0005607845929285516,-0.003504903705803447,-0.1433729770418236,-19.610198601626955,0.003
BTCUSDT,2h,120 days ago UTC,20,linsvc,1382,time,0.2,,direction,0.0,0.4782608695652174,0.47619047619047616,0.9923664122137404,0.6435643564356436,0.4857067649381417,"[[2, 143], [1, 130]]",0.545,1,0.0,-1.573648061131673e-05,-0.0043275321681121,-0.004327532168112103,-3.990898736785079,0.003
BTCUSDT,2h,120 days ago UTC,20,sgdlog,1382,time,0.2,,direction,0.0,0.5108695652173914,0.48863636363636365,0.6564885496183206,0.5602605863192183,0.5253487759936826,"[[55, 90], [45, 86]]",0.54,4,0.25,-4.403343326129881e-05,-0.0030272985367142922,-0.01213307760411042,-3.457015053868476,0.003
BTCUSDT,4h,120 days ago UTC,20,logreg,662,time,0.2,,direction,0.0,0.4318181818181818,0.4358974358974359,0.85,0.576271186440678,0.5206018518518519,"[[6, 66], [9, 51]]",0.865,3,0.6666666666666666,8.502528368683048e-05,0.0037127707209915982,0.011144150666437147,4.298979986576189,0.003
BTCUSDT,4h,120 days ago UTC,20,hgb,662,time,0.2,,direction,0.0,0.5303030303030303,0.4864864864864865,0.6,0.5373134328358209,0.5291666666666667,"[[34, 38], [24, 36]]",0.9,22,0.2727272727272727,-0.0003637161889275974,-0.002268896226167394,-0.047634738886931705,-4.033168013378403,0.003
BTCUSDT,4h,120 days ago UTC,20,rf,662,time,0.2,,direction,0.0,0.5,0.47,0.7833333333333333,0.5875,0.5265046296296296,"[[19, 53], [13, 47]]",0.74,9,0.3333333333333333,0.00012223417723053204,0.0020015846521499623,0.01549372387183312,1.8116111093911034,0.003
BTCUSDT,4h,120 days ago UTC,20,hgb,662,time,0.2,,direction,0.0,0.5303030303030303,0.4864864864864865,0.6,0.5373134328358209,0.5291666666666667,"[[34, 38], [24, 36]]",0.9,22,0.2727272727272727,-0.0003637168979733949,-0.002268900649262607,-0.04763482745888725,-4.033175730973211,0.003
BTCUSDT,4h,120 days ago UTC,20,linsvc,662,time,0.2,,direction,0.0,0.49242424242424243,0.4715447154471545,0.9666666666666667,0.6338797814207651,0.5282407407407408,"[[7, 65], [2, 58]]",0.685,4,0.25,1.2845243317705854e-05,0.00042068171865486674,0.0016174154419312803,0.5924314977432106,0.003
BTCUSDT,4h,120 days ago UTC,20,sgdlog,662,time,0.2,,direction,0.0,0.4772727272727273,0.4536082474226804,0.7333333333333333,0.5605095541401274,0.5331018518518519,"[[19, 53], [16, 44]]",0.59,3,0.6666666666666666,-6.8079983680329e-06,-0.0002972825954041033,-0.0009766371327037948,-0.27864624953208383,0.003
BTCUSDT,30m,365 days ago UTC,20,logreg,17462,time,0.2,,direction,0.0,0.5226231386025201,0.5199833472106578,0.7084515031196824,0.5997599039615846,0.5246006941084111,"[[576, 1153], [514, 1249]]",0.595,1,0.0,-2.4251433785949167e-07,-0.0008466175534674854,-0.000846617553467488,-2.2402275122828237,0.003
BTCUSDT,30m,365 days ago UTC,20,hgb,17462,time,0.2,,direction,0.0,0.5028636884306987,0.5114116652578191,0.3431650595575723,0.4107264086897488,0.5045905373845189,"[[1151, 578], [1158, 605]]",0.615,1,0.0,-1.6424112322535415e-06,-0.0057336576117971135,-0.005733657611797116,-2.2402275122828232,0.003
BTCUSDT,30m,365 days ago UTC,20,rf,17462,time,0.2,,direction,0.0,0.5146048109965635,0.5337301587301587,0.30516165626772546,0.38830747022735473,0.532841550186387,"[[1259, 470], [1225, 538]]",0.705,1,0.0,-3.329301405001291e-07,-0.0011622591204859508,-0.0011622591204859534,-2.2402275122828232,0.003
BTCUSDT,30m,365 days ago UTC,20,hgb,17462,time,0.2,,direction,0.0,0.5028636884306987,0.5114116652578191,0.3431650595575723,0.4107264086897488,0.5045905373845189,"[[1151, 578], [1158, 605]]",0.615,1,0.0,-1.6424112322535415e-06,-0.0057336576117971135,-0.005733657611797116,-2.2402275122828232,0.003
BTCUSDT,30m,365 days ago UTC,20,linsvc,17462,time,0.2,,direction,0.0,0.5220504009163803,0.5300127713920817,0.4707884288145207,0.4986482427155302,0.5265490398188849,"[[993, 736], [933, 830]]",0.555,1,0.0,-2.4251433785949167e-07,-0.0008466175534674854,-0.000846617553467488,-2.2402275122828237,0.003
BTCUSDT,30m,365 days ago UTC,20,sgdlog,17462,time,0.2,,direction,0.0,0.5246277205040092,0.5183862906104962,0.8235961429381735,0.6362839614373357,0.5341626460234097,"[[380, 1349], [311, 1452]]",0.51,3,0.0,-2.6769740867048006e-06,-0.0031151055122288196,-0.009317992606815872,-3.665562478970041,0.003
BTCUSDT,1h,365 days ago UTC,20,logreg,8702,time,0.2,,direction,0.0,0.5293103448275862,0.5255281690140845,0.6807297605473204,0.5931445603576752,0.5285531762526574,"[[324, 539], [280, 597]]",0.61,4,0.25,-1.884760735836673e-06,-0.0008193997299049934,-0.0033063215303333893,-0.8901065998337893,0.003
BTCUSDT,1h,365 days ago UTC,20,hgb,8702,time,0.2,,direction,0.0,0.5172413793103449,0.5287713841368584,0.38768529076396807,0.4473684210526316,0.5359443272189638,"[[560, 303], [537, 340]]",0.82,1,0.0,-1.3206922422000598e-06,-0.002296683809185904,-0.0022966838091859065,-2.2444103464685887,0.003
BTCUSDT,1h,365 days ago UTC,20,rf,8702,time,0.2,,direction,0.0,0.5057471264367817,0.5206812652068127,0.24401368301026224,0.33229813664596275,0.5237114042261951,"[[666, 197], [663, 214]]",0.755,1,0.0,-2.3374978020338685e-06,-0.004064908677736898,-0.0040649086777369,-2.2444103464685887,0.003
BTCUSDT,1h,365 days ago UTC,20,hgb,8702,time,0.2,,direction,0.0,0.5172413793103449,0.5287713841368584,0.38768529076396807,0.4473684210526316,0.5359139381463458,"[[560, 303], [537, 340]]",0.82,1,0.0,-1.3206922422000598e-06,-0.002296683809185904,-0.0022966838091859065,-2.2444103464685887,0.003
BTCUSDT,1h,365 days ago UTC,20,linsvc,8702,time,0.2,,direction,0.0,0.5304597701149425,0.5369458128078818,0.49714937286202965,0.5162818235642392,0.5298176259263713,"[[487, 376], [441, 436]]",0.59,1,0.0,-7.283048476583887e-07,-0.001266522130077938,-0.0012665221300779406,-2.2444103464685887,0.003
BTCUSDT,1h,365 days ago UTC,20,sgdlog,8702,time,0.2,,direction,0.0,0.5040229885057471,0.5040229885057471,1.0,0.6702330913259458,0.5309288089729682,"[[0, 863], [0, 877]]",0.53,2,0.0,-5.088687929527381e-06,-0.004424614154724058,-0.00883318662523025,-2.9218217201745995,0.003
BTCUSDT,2h,365 days ago UTC,20,logreg,4322,time,0.2,,direction,0.0,0.5196759259259259,0.5361050328227571,0.546875,0.5414364640883977,0.5067554515796704,"[[204, 212], [203, 245]]",0.635,1,1.0,3.2460656279057866e-06,0.002801354636882694,0.0028013546368828024,2.2528467892539172,0.003
BTCUSDT,2h,365 days ago UTC,20,hgb,4322,time,0.2,,direction,0.0,0.4849537037037037,0.5054545454545455,0.31026785714285715,0.38450899031811897,0.4896709735576923,"[[280, 136], [309, 139]]",0.825,4,0.5,-5.769665077406747e-06,-0.0012448052404505057,-0.004990866031428509,-1.615758850034183,0.003
BTCUSDT,2h,365 days ago UTC,20,rf,4322,time,0.2,,direction,0.0,0.5081018518518519,0.5418181818181819,0.3325892857142857,0.41217150760719223,0.5226138607486265,"[[290, 126], [299, 149]]",0.695,2,1.0,4.580120940795435e-06,0.0019763221859532302,0.00395645874803674,3.1510864242926564,0.003
BTCUSDT,2h,365 days ago UTC,20,hgb,4322,time,0.2,,direction,0.0,0.4849537037037037,0.5054545454545455,0.31026785714285715,0.38450899031811897,0.4896709735576923,"[[280, 136], [309, 139]]",0.825,4,0.5,-5.769665077406747e-06,-0.0012448052404505057,-0.004990866031428509,-1.615758850034183,0.003
BTCUSDT,2h,365 days ago UTC,20,linsvc,4322,time,0.2,,direction,0.0,0.5196759259259259,0.5260663507109005,0.7433035714285714,0.6160962072155411,0.5038418612637363,"[[116, 300], [115, 333]]",0.55,2,0.5,5.763884437202636e-07,0.00024871161346529374,0.0004909690979923997,0.3087833731343689,0.003
BTCUSDT,2h,365 days ago UTC,20,sgdlog,4322,time,0.2,,direction,0.0,0.5243055555555556,0.52443857331572,0.8861607142857143,0.6589211618257261,0.5337504292582417,"[[56, 360], [51, 397]]",0.56,3,0.6666666666666666,9.312641113821133e-06,0.0026789364270758793,0.00804549818485678,2.6365346379572023,0.003
BTCUSDT,4h,365 days ago UTC,20,logreg,2132,time,0.2,,direction,0.0,0.44366197183098594,0.42105263157894735,0.18018018018018017,0.25236593059936907,0.4646926338102809,"[[149, 55], [182, 40]]",0.63,2,0.0,-3.744325624492945e-05,-0.007956691952047509,-0.015860589780089307,-2.9753878498470145,0.003
BTCUSDT,4h,365 days ago UTC,20,hgb,2132,time,0.2,,direction,0.0,0.4765258215962441,0.4935064935064935,0.17117117117117117,0.25418060200668896,0.48818671612789266,"[[165, 39], [184, 38]]",0.79,7,0.2857142857142857,-7.102727375554195e-05,-0.0043123701923007615,-0.030775162177853255,-1.4933439862598739,0.003
BTCUSDT,4h,365 days ago UTC,20,rf,2132,time,0.2,,direction,0.0,0.5211267605633803,0.5978260869565217,0.24774774774774774,0.3503184713375796,0.5397456279809222,"[[167, 37], [167, 55]]",0.565,11,0.36363636363636365,-1.1735350396099033e-05,-0.00045341126530382635,-0.00629032417921771,-0.2213783603412315,0.003
BTCUSDT,4h,365 days ago UTC,20,hgb,2132,time,0.2,,direction,0.0,0.4765258215962441,0.4935064935064935,0.17117117117117117,0.25418060200668896,0.48818671612789266,"[[165, 39], [184, 38]]",0.79,7,0.2857142857142857,-7.102727375554195e-05,-0.0043123701923007615,-0.030775162177853255,-1.4933439862598739,0.003
BTCUSDT,4h,365 days ago UTC,20,linsvc,2132,time,0.2,,direction,0.0,0.4835680751173709,0.6666666666666666,0.018018018018018018,0.03508771929824561,0.5355723370429253,"[[202, 2], [218, 4]]",0.505,3,0.3333333333333333,-8.597927002882141e-06,-0.0012180396587416367,-0.003686776907157685,-0.9340726497695299,0.003
BTCUSDT,4h,365 days ago UTC,20,sgdlog,2132,time,0.2,,direction,0.0,0.5211267605633803,0.5211267605633803,1.0,0.6851851851851852,0.4899531884826003,"[[0, 204], [0, 222]]",0.52,57,0.24561403508771928,-0.0004176489219908447,-0.0031696569972519454,-0.16441797592408258,-6.265687514577792,0.003
BTCUSDT,30m,730 days ago UTC,20,logreg,34982,time,0.2,,direction,0.0,0.5198684962835907,0.5277697841726618,0.5163288288288288,0.5219866230254732,0.5257721517248956,"[[1803, 1641], [1718, 1834]]",0.615,1,0.0,-6.602638372185048e-07,-0.004618545541343441,-0.004618545541343444,-1.5826073978848592,0.003
BTCUSDT,30m,730 days ago UTC,20,hgb,34982,time,0.2,,direction,0.0,0.5098627787307033,0.5146046069817145,0.6100788288288288,0.558289321138735,0.5126577606569985,"[[1400, 2044], [1385, 2167]]",0.635,1,0.0,-9.434312694716443e-07,-0.006599301729954152,-0.0065993017299541545,-1.5826073978848596,0.003
