symbol,interval,rows,split_mode,test_size,accuracy,precision,recall,f1,auc,confusion_matrix,features_file,predictions_file
BTCUSDT,5m,17271,time,0.2,0.5115807759119861,0.4980711530218603,0.6924910607866508,0.5794066317626527,0.5175734062429532,"[[605, 1171], [516, 1162]]",,
BTCUSDT,15m,5745,time,0.2,0.5230635335073978,0.4994124559341951,0.7769652650822669,0.6080114449213162,0.5450023383359551,"[[176, 426], [122, 425]]",,
BTCUSDT,1h,1422,time,0.2,0.5140845070422535,0.49137931034482757,0.8507462686567164,0.6229508196721312,0.559452736318408,"[[32, 118], [20, 114]]",,
